Group	ROI	1H	2H	SE	Ratio_2Hx1H
red	0	66420	14	163355	0.0002107354667790589
red	1	46750	3	181462	6.416700532586144e-05
red	2	51708	10	275292	0.0001933562782783557
red	3	42951	1	185820	2.3281802942819892e-05
red	4	27824	1	182154	3.5938903863432166e-05
red	5	36970	5	211724	0.0001352265043948614
red	6	34485	3	191375	8.698677800974252e-05
red	7	47624	4	316205	8.398421096833795e-05
red	8	12142	1	80969	8.23519723297373e-05
red	9	17928	0	92590	0.0
red	10	35859	2	192692	5.5770893170854134e-05
red	11	10490	1	61565	9.53197979220284e-05
red	12	46874	6	199246	0.0001279863481228669
red	13	65275	9	211854	0.0001378591998039336
red	14	25741	5	93352	0.00019420492503689893
red	15	39787	4	128778	0.00010052524440200045
red	16	50163	5	199776	9.966512517939723e-05
red	17	16875	0	87540	0.0
red	18	26006	2	125684	7.689941556444171e-05
red	19	68224	7	307799	0.00010259266315897466
red	20	38439	0	190508	0.0
red	21	15339	1	54516	6.51890482398957e-05
red	22	50460	7	271445	0.0001387044999702776
red	23	30595	0	119431	0.0
red	24	44451	6	259292	0.000134961873270801
green	0	421973	44	2182493	0.00010426120274775661
green	1	73892	12	267547	0.00016237280796709244
