Group	ROI	1H	2H	SE	Ratio_2Hx1H
red	0	18139	2367	145837	0.11542963035209207
red	1	9941	1104	100449	0.09995473064735175
red	2	7995	991	65600	0.11028266191853996
red	3	4870	623	43714	0.11341707627890042
red	4	9999	1296	79938	0.1147410358565737
red	5	9396	1096	78673	0.1044605413648494
red	6	13319	1505	134461	0.10152455477603886
red	7	12269	1574	47218	0.1137036769486383
red	8	18386	2254	96812	0.10920542635658914
red	9	8819	1019	89745	0.10357796300060988
red	10	16029	1828	106409	0.10236881895055161
red	11	7012	787	57335	0.10091037312475959
red	12	11542	1389	68037	0.10741628644343051
red	13	3173	410	20507	0.11442924923248675
red	14	13414	1641	85540	0.10900033211557622
red	15	14041	1627	85034	0.10384222619351545
red	16	20894	2724	92272	0.11533576086036074
red	17	5577	639	41182	0.1027992277992278
red	18	9883	1063	66340	0.09711310067604605
red	19	5710	691	43608	0.10795188251835651
red	20	14353	1514	103614	0.09541816348396043
red	21	6663	748	59199	0.10093104844150587
red	22	5229	619	33791	0.10584815321477428
red	23	1952	217	29708	0.1000461041954818
red	24	4306	500	34202	0.10403662089055347
red	25	7843	945	44322	0.10753299954483386
red	26	6576	715	46846	0.09806610890138527
red	27	5110	569	42817	0.10019369607325233
red	28	3650	399	29415	0.09854285008644109
red	29	4433	514	25319	0.10390135435617547
red	30	3047	342	29064	0.10091472410740632
red	31	15297	1927	100109	0.11187877380399443
red	32	4276	465	36408	0.09808057371862476
red	33	1588	193	19584	0.10836608646827625
red	34	1990	217	19214	0.09832351608518351
red	35	5829	709	73762	0.10844294891404099
red	36	3276	335	42028	0.09277208529493215
red	37	6901	835	44004	0.1079369183040331
red	38	1185	115	20086	0.08846153846153847
red	39	11003	1268	111280	0.1033330616901638
red	40	2804	259	31031	0.08455762324518445
red	41	1099	98	18432	0.08187134502923976
red	42	1722	209	20803	0.108234075608493
red	43	3131	333	31626	0.09613163972286375
red	44	2622	271	24981	0.09367438645005186
