Group	ROI	1H	2H	SE	Ratio_2Hx1H
red	0	3692	610	35038	0.1417945141794514
red	1	7299	900	34851	0.10976948408342481
red	2	27739	3530	165113	0.11289136205187246
red	3	41352	4616	252483	0.10041768186564566
red	4	5244	618	37167	0.10542476970317298
red	5	10983	1230	34558	0.1007123556865635
red	6	9922	1064	67428	0.09685053704715092
red	7	14156	1707	115486	0.10760890121666772
red	8	16005	2151	93780	0.11847323198942498
red	9	6331	827	40807	0.1155350656607991
red	10	10407	1205	35381	0.10377196004133654
red	11	11219	1427	58511	0.11284200537719437
red	12	9479	1167	73391	0.1096186361074582
red	13	11754	1264	66136	0.09709632816100784
red	14	16247	2091	111215	0.11402552077652961
red	15	9897	1116	69802	0.10133478616180877
red	16	6034	684	40110	0.10181601667162846
red	17	5077	583	45527	0.1030035335689046
red	18	6531	772	38598	0.10570998219909626
red	19	4530	416	47189	0.0841083704003235
red	20	4161	466	27335	0.10071320510049708
red	21	5186	593	38707	0.1026129088077522
red	22	8264	861	42291	0.09435616438356165
red	23	8821	1061	44753	0.10736692977130136
red	24	5862	649	46103	0.09967746889878668
red	25	7331	896	44672	0.10890968761395406
red	26	5358	644	30065	0.1072975674775075
red	27	9752	1107	60278	0.1019430886821991
red	28	9112	1055	41717	0.10376708960361955
red	29	5196	506	54426	0.08874079270431427
red	30	4752	510	26595	0.09692132269099202
red	31	9150	1139	57600	0.11070074837204782
red	32	3358	329	27715	0.0892324382967182
red	33	4920	473	47196	0.08770628592620063
red	34	6952	733	55227	0.09538061158100195
red	35	9084	1117	72906	0.10949906871875306
red	36	4683	553	27952	0.10561497326203209
