Group	ROI	1H	2H	SE	Ratio_2Hx1H
red	0	7817	570	133814	0.06796232264218434
red	1	35351	2242	545581	0.059638762535578434
red	2	28835	1610	539188	0.05288224667433076
red	3	8280	551	185786	0.06239383988223304
red	4	8911	383	147090	0.04120938239724554
red	5	24288	1567	286693	0.06060723264358925
red	6	15174	972	246952	0.06020066889632107
red	7	16939	1229	311089	0.06764641127256715
red	8	12173	619	203353	0.04838961851156973
red	9	11644	871	193499	0.06959648421893727
red	10	21923	1067	290782	0.046411483253588515
red	11	24128	1590	267936	0.06182440314176841
red	12	9417	809	142617	0.07911206727948367
red	13	66711	3486	792838	0.04966024189067909
red	14	19759	1347	360653	0.06382071448877097
red	15	30114	1961	468324	0.06113795791114575
red	16	7480	626	148418	0.077226745620528
red	17	12996	968	238183	0.06932111142938986
red	18	20940	1344	211595	0.06031233171782445
red	19	38855	2440	549159	0.059087056544375835
red	20	9503	844	184984	0.08156953706388326
red	21	74134	3778	984897	0.04849060478488551
green	0	53627	3372	703402	0.059158932612852856
green	1	11569	696	194375	0.05674684060334285
green	2	18595	1165	242222	0.05895748987854251
green	3	31442	1899	277584	0.056956899913020005
green	4	18583	916	240659	0.046976768039386635
green	5	16146	1005	318267	0.058597166345985656
green	6	34755	2994	618271	0.07931335929428594
green	7	42593	3060	522630	0.06702735855255952
green	8	12891	1093	159171	0.07816075514874142
green	9	16989	1164	259231	0.06412163278796892
