Group	ROI	1H	2H	SE	Ratio_2Hx1H
red	0	18542	1154	196551	0.058590576766856216
red	1	7140	572	79026	0.0741701244813278
red	2	7829	526	87375	0.06295631358467983
red	3	7888	519	79829	0.06173426906149637
red	4	8145	645	90168	0.07337883959044368
red	5	23658	1040	189725	0.04210867276702567
red	6	25672	1254	194495	0.04657208645918443
red	7	18385	1161	172865	0.05939834237184079
red	8	16977	641	127164	0.036383244409127026
red	9	7912	467	70953	0.055734574531567015
red	10	7052	592	118344	0.07744636316064887
