Group	ROI	1H	2H	SE	Ratio_2Hx1H
red	0	73174	6355	325061	0.07990795810333337
red	1	63751	5358	285917	0.0775296994602729
red	2	52282	5503	238916	0.09523232672838972
red	3	115512	12096	487876	0.09479029527929284
red	4	84981	8070	313162	0.08672663378147467
red	5	108142	8395	367351	0.07203720706728335
red	6	190535	17953	773409	0.08611047158589463
red	7	44350	4301	177922	0.0884051715278206
red	8	35376	3480	159198	0.08956145768993205
red	9	164261	17931	621131	0.09841815227891455
red	10	81262	8728	270926	0.09698855428380931
red	11	153507	12943	576335	0.07775908681285672
red	12	71613	8422	205757	0.10522896232898107
red	13	146608	14617	561456	0.09066211815785392
red	14	24974	3362	137000	0.11864765669113496
red	15	89964	7703	278397	0.07887003798621847
red	16	109443	11279	300276	0.0934295323139113
red	17	37662	3445	205302	0.0838056778650838
red	18	77540	7955	348494	0.09304637698111001
red	19	179958	23747	750849	0.1165754399744729
red	20	75425	7639	260121	0.09196523162862372
red	21	65737	8041	273982	0.1089891295508146
red	22	85055	9298	286057	0.09854482634362448
red	23	63035	7636	184476	0.10804997806738266
