Group	ROI	1H	2H	SE	Ratio_2Hx1H
red	0	104577	12069	837636	0.10346689985083071
red	1	41589	4649	401279	0.10054500627189758
red	2	26300	3227	171843	0.10928980255359501
red	3	18665	2410	201914	0.1143534994068802
red	4	18488	2152	188663	0.10426356589147287
red	5	58524	5936	572481	0.0920881166614955
red	6	10990	1016	121844	0.08462435448942196
red	7	34066	3661	314234	0.09703925570546293
red	8	33966	3320	393867	0.08904146328380626
red	9	9781	986	153380	0.0915761121946689
red	10	14215	1418	224528	0.09070555875391799
red	11	10056	991	158501	0.0897076129265864
red	12	9736	1139	115961	0.10473563218390805
red	13	8056	797	83107	0.0900259798938213
red	14	9498	1058	138888	0.10022735884804851
red	15	92398	9387	931615	0.09222380507933389
red	16	7975	833	147552	0.0945731153496821
red	17	17288	1846	187940	0.09647747465245113
