Group	ROI	1H	2H	SE	Ratio_2Hx1H
red	0	1768	221	29805	0.1111111111111111
red	1	1907	189	31152	0.09017175572519084
red	2	2856	298	46236	0.09448319594166138
red	3	4239	584	60347	0.12108646070910221
red	4	1265	146	22788	0.1034727143869596
red	5	1091	121	19578	0.09983498349834984
red	6	2719	288	23006	0.09577652144995012
red	7	2354	272	22807	0.10357958872810358
red	8	1890	188	30496	0.0904716073147257
red	9	3669	427	37068	0.104248046875
red	10	3828	390	59414	0.09246088193456614
red	11	6818	663	58217	0.08862451543911241
red	12	2769	257	33175	0.08493060145406477
red	13	1835	157	25233	0.0788152610441767
red	14	5195	498	45751	0.08747584753205691
red	15	2802	276	36128	0.08966861598440545
red	16	1481	139	16538	0.08580246913580247
red	17	915	62	23306	0.06345957011258956
