Group	ROI	1H	2H	SE	Ratio_2Hx1H
red	0	40700	3488	148241	0.07893545759029601
red	1	59363	4989	254258	0.07752672799602188
red	2	17989	1482	94001	0.07611319398079194
red	3	55086	4930	283476	0.08214476139696081
red	4	16447	1455	82974	0.08127583510222322
red	5	24507	1672	98933	0.06386798579013714
red	6	65825	6073	267286	0.08446688364071324
red	7	45079	3486	158243	0.07178008854113044
red	8	37870	2478	114689	0.061415683553088136
red	9	45402	3125	170118	0.06439713973664146
green	0	132108	12271	455311	0.084991584648737
green	1	37645	3701	86906	0.08951289121075799
green	2	78158	6940	267349	0.08155303297374791
green	3	12852	1141	42855	0.0815407703851926
green	4	13647	1178	37657	0.07946037099494098
green	5	11757	913	60949	0.07205998421468035
green	6	39533	3399	157174	0.07917171340724867
green	7	8297	661	30541	0.07378879214110293
green	8	29693	2300	153328	0.07189072609633357
green	9	15837	1275	95311	0.07450911640953717
green	10	14572	1201	64832	0.07614277562923984
green	11	21173	962	92762	0.04346058278744071
green	12	43874	3641	193547	0.07662843312638114
green	13	32701	2074	151279	0.059640546369518335
green	14	58073	3805	237693	0.06149196806619477
green	15	13462	888	53924	0.0618815331010453
green	16	16270	1357	66481	0.07698417200885006
green	17	13903	1081	65936	0.07214361986118527
green	18	6360	452	31267	0.06635349383440986
green	19	5773	454	27018	0.0729083025533965
green	20	13849	991	66739	0.0667789757412399
green	21	12292	825	64998	0.0628954791491957
green	22	36433	2749	153873	0.0701597672400592
green	23	16997	1268	82481	0.06942239255406515
green	24	18850	1297	87658	0.06437683029731474
green	25	8370	500	35981	0.05636978579481398
green	26	58142	3915	254088	0.06308716180285866
green	27	42820	2428	175589	0.05365983026874116
green	28	7721	555	37821	0.06706138231029483
green	29	5495	297	26146	0.05127762430939226
green	30	80304	4345	380735	0.051329608146581766
green	31	33373	1940	137337	0.0549372752244216
green	32	47891	3321	235868	0.06484808248066859
green	33	30385	1484	148275	0.04656562803978788
