Group	ROI	1H	2H	SE	Ratio_2Hx1H
red	0	63302	12056	384072	0.1599830144112105
red	1	71519	14462	362015	0.1681999511519987
red	2	107785	17956	327098	0.14280147286883355
red	3	130754	17407	467556	0.11748705799771869
red	4	55415	9827	301627	0.1506238312743325
red	5	41491	6126	271701	0.12865153201587667
red	6	112802	17986	377472	0.13752026179771845
red	7	166973	28612	683652	0.14628933711685457
red	8	83437	13823	349119	0.1421242031667695
green	0	54163	9974	267761	0.15551085956624103
green	1	47354	9301	329617	0.16416909363692525
green	2	22600	4795	159557	0.17503194013506115
green	3	93296	17990	363759	0.1616555541577557
green	4	11792	2084	68906	0.15018737388296338
green	5	47827	8118	276092	0.14510680132272769
