Group	ROI	1H	2H	SE	Ratio_2Hx1H
red	0	48953	7762	194039	0.13685973728290576
red	1	23773	3791	107079	0.13753446524452184
red	2	21951	3308	169207	0.13096322103012786
red	3	46147	5171	244231	0.1007638645309638
red	4	48266	6555	243096	0.11957096733003776
red	5	41935	5853	136485	0.12247844647191763
red	6	22920	2753	114181	0.10723328009971565
red	7	41685	7136	266148	0.14616660863153152
red	8	41634	5190	254294	0.11084059456688877
red	9	31816	3018	106487	0.0866394901532985
red	10	30839	4287	148460	0.12204634743494847
red	11	32379	3011	232242	0.08508053122350946
red	12	56180	7188	270643	0.11343264739300593
red	13	35737	3514	158732	0.08952638149346513
green	0	32394	5363	261450	0.1420398866435363
green	1	10147	1698	77256	0.14335162515829464
green	2	11956	2028	100698	0.1450228832951945
green	3	12011	2185	93708	0.15391659622428852
green	4	21799	3355	144745	0.13337838912300232
green	5	14173	2238	67991	0.1363719456462129
green	6	28525	5334	146055	0.1575356626007856
green	7	16091	2622	104403	0.1401164965531983
green	8	15650	2367	107285	0.13137592273963478
green	9	34345	3282	163094	0.08722459935684482
green	10	31093	4837	162894	0.1346228778179794
green	11	56934	6674	263798	0.10492390894227141
