Group	ROI	1H	2H	SE	Ratio_2Hx1H
red	0	20963	1814	95802	0.07964174386442464
red	1	24510	1915	135162	0.07246925260170294
red	2	31278	2635	126045	0.07769881756258662
red	3	25929	2316	122437	0.08199681359532661
red	4	24542	2178	116502	0.0815119760479042
red	5	20510	1611	135223	0.07282672573572624
red	6	27552	2451	173313	0.0816918308169183
red	7	30971	2155	146661	0.06505463985992875
red	8	135040	8121	499101	0.05672634306829374
red	9	22154	1016	100907	0.04384980578334053
red	10	32624	2072	129505	0.05971869956190915
red	11	55870	3921	163250	0.06557843153651888
red	12	36427	2074	139179	0.05386873068231994
red	13	47749	3537	223106	0.06896618960340054
red	14	51539	3933	204145	0.07090063455436978
red	15	47978	2773	165267	0.05463931745187287
red	16	75763	4266	324210	0.05330567669219908
red	17	66570	3483	184475	0.04971949809430003
red	18	85170	6569	227568	0.07160531507864704
green	0	42264	3857	196326	0.08362784848550552
green	1	21775	1842	100317	0.07799466486005843
green	2	43729	4215	219589	0.08791506757884199
green	3	18967	1702	98108	0.08234554163239634
green	4	37200	3170	232835	0.07852365618033193
green	5	64843	5517	341546	0.07841102899374644
green	6	18580	1478	97502	0.0736863097018646
green	7	13967	1237	68697	0.08136016837674297
green	8	55324	5161	262978	0.08532694056377614
green	9	13758	1144	75477	0.07676821903100255
green	10	12676	1105	72070	0.0801828604600537
green	11	21921	1884	116441	0.07914303717706364
green	12	28683	2700	170221	0.08603383997705764
green	13	14542	1264	79155	0.07996963178539795
green	14	10839	1017	68888	0.08577935222672065
green	15	74912	6718	387764	0.08229817469067745
green	16	42845	4145	257546	0.08821025750159608
green	17	89561	7627	396634	0.07847676667901388
green	18	192446	17173	1013135	0.0819248255167709
green	19	10278	1001	66158	0.08874900257114993
green	20	10452	957	56245	0.08388114646331843
green	21	49819	5110	338624	0.0930291831273098
green	22	16593	1515	80890	0.08366467859509609
green	23	10295	917	55846	0.08178737067427756
green	24	8509	794	46199	0.08534881221111469
green	25	13401	1234	70313	0.08431841475913905
green	26	110058	10743	667750	0.0889313830183525
green	27	49287	4496	256777	0.08359518807057992
green	28	22503	2148	93262	0.08713642448582208
green	29	41673	3358	203259	0.07457085119140149
green	30	75726	6585	360038	0.08000145788533732
green	31	23291	1924	103463	0.07630378742811818
green	32	43682	3781	244285	0.07966205254619388
green	33	12076	850	50160	0.06575893547887977
green	34	49370	4133	189156	0.07724800478477842
green	35	105820	7811	478642	0.06874004453010182
green	36	39266	2608	156515	0.062282084348282946
green	37	18521	1511	90572	0.07542931309904154
green	38	14893	1201	82246	0.07462408350938238
green	39	14979	1318	66300	0.08087378045038965
green	40	10748	877	50672	0.07544086021505376
green	41	24422	1649	102578	0.06325035480035288
green	42	29028	1344	116134	0.044251284077439744
green	43	25529	1687	121348	0.06198559670781893
green	44	38984	1406	135720	0.034810596682347116
green	45	30622	1961	139408	0.060184758923364945
green	46	21221	1282	88579	0.05697018175354397
