Group	ROI	1H	2H	SE	Ratio_2Hx1H
red	0	99542	7884	391495	0.07339005454917803
green	0	27179	2385	143480	0.08067243945338926
green	1	32491	2796	159604	0.07923597925581659
green	2	14728	1144	70476	0.07207661290322581
green	3	10473	868	48396	0.07653646062957412
green	4	49900	4207	151576	0.07775334060287947
green	5	53313	3763	232527	0.06592963767608101
green	6	25387	1875	116075	0.06877705230724085
green	7	25562	2086	98897	0.07544849537037036
green	8	19915	1424	88900	0.0667322742396551
green	9	29345	2190	122752	0.06944664658316156
green	10	17258	1288	79480	0.06944893777633991
green	11	18882	1374	83684	0.06783175355450237
green	12	50645	3859	149679	0.07080214296198444
green	13	39733	2806	194970	0.06596299866005313
green	14	44894	3177	141715	0.06608974225624598
green	15	28093	2081	109971	0.06896666003844369
green	16	10032	744	48808	0.06904231625835189
