Group	ROI	1H	2H	SE	Ratio_2Hx1H
red	0	764	90	21013	0.1053864168618267
red	1	2465	320	24550	0.11490125673249552
red	2	119	14	21214	0.10526315789473684
red	3	4222	463	41490	0.09882604055496265
red	4	1793	192	39198	0.09672544080604534
red	5	951	122	16824	0.11369990680335508
red	6	867	84	22713	0.08832807570977919
red	7	1009	116	22337	0.10311111111111111
red	8	5008	538	44977	0.09700685178507032
red	9	5523	601	37335	0.0981384715871979
red	10	4238	456	39420	0.09714529186195142
green	0	57103	5994	525672	0.09499659254798168
green	1	2784	283	27608	0.09227257906749266
green	2	767	85	9934	0.09976525821596244
