Group	ROI	1H	2H	SE	Ratio_2Hx1H
red	0	27598	4	197800	0.00014491703499746396
red	1	42635	5	181287	0.00011726078799249531
red	2	70280	4	393993	5.6911957202208187e-05
red	3	82142	16	606494	0.00019474670756347527
green	0	62628	7	270952	0.0001117586014209308
green	1	35273	7	204392	0.0001984126984126984
green	2	5348	1	47050	0.0001869508319312021
green	3	84705	10	336713	0.00011804284955438824
green	4	5132	0	56978	0.0
green	5	7616	2	62068	0.00026253609871357313
green	6	27787	5	280636	0.00017990788716177317
green	7	52422	16	164742	0.00030512223959723865
green	8	68286	11	262713	0.0001610612471997306
green	9	7190	0	38280	0.0
green	10	11915	0	85671	0.0
green	11	14141	3	184881	0.00021210407239819005
green	12	15990	0	128128	0.0
green	13	21819	3	184562	0.00013747594171020073
green	14	31534	7	145819	0.0002219333565834945
green	15	11740	1	88069	8.517162081594413e-05
green	16	10566	1	72051	9.463423866754992e-05
green	17	23328	5	202393	0.00021428877555393648
