Group	ROI	1H	2H	SE	Ratio_2Hx1H
red	0	40665	8	277059	0.00019669067932043372
red	1	42545	4	389482	9.400925991210134e-05
red	2	38728	3	289988	7.745733391856652e-05
red	3	28941	6	185524	0.00020727536532283138
red	4	31815	6	277374	0.00018855472800980485
green	0	17041	5	210722	0.0002933239469670304
green	1	13195	2	160056	0.00015154959460483443
green	2	8632	2	109747	0.0002316423442205235
green	3	25121	9	298295	0.0003581376840429765
green	4	28038	4	261590	0.00014264317809000785
green	5	28888	5	108138	0.0001730522964039733
green	6	12728	1	106584	7.85607667530835e-05
green	7	93252	15	585241	0.00016082858888996109
green	8	14693	2	111984	0.00013610071452875127
green	9	24222	5	101513	0.00020638131010855657
green	10	14884	1	114341	6.718172657037286e-05
green	11	17982	5	147099	0.00027797854005670765
green	12	27440	1	111257	3.6441820633358846e-05
green	13	56672	6	435152	0.00010586118070503546
green	14	9018	2	84867	0.00022172949002217295
green	15	30956	4	212298	0.00012919896640826872
green	16	86195	16	349296	0.00018559116586050505
green	17	9283	1	77789	0.00010771219302024989
green	18	5277	0	50278	0.0
green	19	5705	2	72537	0.0003504468196951113
green	20	10098	0	90723	0.0
green	21	70552	5	313796	7.086469095908273e-05
green	22	43640	4	182071	9.165062780680047e-05
green	23	25157	1	125228	3.974878766197631e-05
